,ret_real,ret_ratio_real,ret_ratio_real_weight_old,ret_real_weight_old,ret_ratio_weight_alloc,ret_weight_alloc,cum_ret_real,cum_ret_real_weight_old,cum_ret_weight_alloc
2018-12-19,-9.206699999999998,-0.08798720908896296,-0.0021983175755725913,-0.23002491649167411,0.12690973217156862,13.27942826328999,5720.36253,6052.617318904009,7747.246815164126
2018-12-20,29.32325999999999,0.2749052961854943,0.2872896037273572,30.644254084177152,0.3268149885233207,34.860299213369686,5749.68579,6083.261572988186,7782.107114377496
2018-12-21,14.621599999999987,0.11622071252510735,0.1718097436704686,21.61519486046362,0.3238135606246269,40.738627867267624,5764.307390000001,6104.87676784865,7822.845742244764
2018-12-22,49.48259999999999,0.3634415251990266,0.3989633715294254,54.318902930068425,0.4646516326028269,63.26236624403814,5813.789990000001,6159.1956707787185,7886.108108488802
2018-12-23,120.71759999999998,0.8169290113013465,0.8016168007874054,118.4549146523549,0.7679422675515651,113.4788288760948,5934.507590000001,6277.6505854310735,7999.586937364897
2018-12-24,66.05669999999998,0.44519981075029946,0.5366845581381449,79.6307859875705,0.7466666933754996,110.78696929626712,6000.564290000001,6357.281371418644,8110.373906661163
2018-12-25,25.48290000000003,0.17145469616679554,0.13732145583966987,20.40975840995612,0.04797571485107907,7.13051535660024,6026.047190000001,6377.6911298286,8117.504422017763
2018-12-26,89.04154,0.47396833558762497,0.45978738346863895,86.37745102921404,0.36900230238702353,69.32221163540555,6115.088730000001,6464.068580857815,8186.826633653169
2018-12-27,16.114300000000014,0.05613007835562911,0.042266609934106664,12.134257646067782,0.008412913592744925,2.4152507439707516,6131.2030300000015,6476.202838503882,8189.241884397139
2018-12-28,64.13909999999998,0.2251720937155952,0.26894763330861005,76.60833482026437,0.23372015795184797,66.57397164776255,6195.342130000002,6552.811173324147,8255.815856044901
2018-12-29,97.55439999999999,0.2725666179486872,0.32508151626065246,116.350023009305,0.1339665785940768,47.9480183345796,6292.896530000002,6669.161196333452,8303.763874379481
